Avg Packet Size,Std. deviation of packet size,Total Bytes,AVG. IAT(ms),Std. daviation of IAT(ms),Flow duration(SECONDS),Push_flag_cnt,Avg_wind_size,Class
1426,210.741547873,1426529,10.86,51.682291,10.846116,185,30015,download
1400,250.792743117,1400886,4.06,22.593781,4.058345,276,30015,download
1487,143.805424098,1487074,14.71,181.206312,14.692192,123,34252,download
1420,236.822718505,1420973,10.13,49.875605,10.123397,188,30015,download
1394,254.972547542,1394665,3.46,16.541209,3.460801,305,30449,download
1490,108.434311913,1490920,30.89,78.922546,30.855365,32,31078,download
1487,129.973074135,1487350,10.74,73.107948,10.733989,113,33195,download
1390,272.814955602,1390626,3.12,13.746667,3.121458,267,30015,download
1407,239.386716423,1407833,9.97,49.548553,9.962068,214,30015,download
1342,312.152206463,1342493,5.1,29.318478,5.096614,333,30185,download
1385,243.993852382,1385697,3.9,21.376979,3.892976,277,30666,download
1490,110.864782506,1490040,65.91,167.838689,65.840938,199,32063,download
1477,175.661606505,1477141,9.99,84.661506,9.976475,127,32470,download
1478,169.676162144,1478605,8.66,46.707235,8.654119,121,32063,download
1487,127.624449068,1487101,2.04,13.995727,2.034379,241,33926,download
1488,121.144541767,1488446,2.25,11.673709,2.252602,235,33817,download
1490,106.023582282,1490938,6.09,24.329,6.082775,213,32063,download
1492,103.489129864,1492197,1.24,4.284511,1.243682,33,32063,download
1492,103.489129864,1492197,1.49,10.416141,1.490793,27,32063,download
1492,103.489129864,1492197,1.29,4.476159,1.285848,25,32063,download
1480,199.085408807,1480017,5.73,49.442771,5.722929,129,32063,download
1478,170.06175349,1478557,4.37,27.04507,4.367009,147,32063,download
1478,169.702681181,1478605,3.46,27.032613,3.460656,116,32470,download
1477,176.01988524,1477097,7.81,42.118208,7.798086,134,32063,download
1473,187.611300299,1473730,8.78,44.930425,8.768073,144,33923,download
1478,169.676162144,1478605,8.72,52.018973,8.70788,132,32470,download
1478,169.676162144,1478605,11.77,64.743449,11.758874,75,32063,download
1497,64.5058136915,1497112,5.17,51.486265,5.16653,8,30078,download
1497,64.5058136915,1497112,1.69,9.622216,1.693,5,30078,download
1497,64.5058136915,1497112,13.65,143.600027,13.64037,11,30078,download
1497,64.5058136915,1497112,12.82,201.985712,12.806766,9,30078,download
1497,64.5058136915,1497112,9.81,146.861876,9.800159,8,30078,download
1497,64.5058136915,1497112,1.75,9.851606,1.749569,13,15870,download
1501,121.041315261,1501456,13.4,90.606818,13.387442,19,15614,download
1497,64.5058136915,1497112,15.56,78.844509,15.547135,5,30078,download
1497,64.5058136915,1497112,1.83,12.035095,1.826839,12,15614,download
1495,78.8986691903,1495672,10.55,197.035875,10.539417,6,30077,download
1498,79.1517529812,1498560,14.04,90.741846,14.030305,28,15870,download
1495,78.8986691903,1495672,26.79,120.031163,26.762196,3,30077,download
1349,304.855703571,1349765,3.4,17.181276,3.398915,335,30015,download
1339,329.080537255,1339545,3.63,23.71905,3.630042,318,30015,download
1349,323.596971556,1349481,3.57,22.584956,3.565154,314,30015,download
1346,336.723922524,1346561,3.38,18.54817,3.37802,321,30015,download
1409,258.644543727,1409625,3.49,17.605348,3.482752,239,30015,download
1372,302.172136373,1372841,3.36,17.921851,3.358954,265,30015,download
1367,317.628714067,1367285,3.34,18.362399,3.339075,280,30015,download
1345,325.582554815,1345385,3.65,23.145828,3.643572,329,30015,download
1497,64.5058136915,1497112,2.12,14.47037,2.120152,6,30206,download
1497,64.5058136915,1497112,2.1,14.352669,2.095074,6,30206,download
1494,127.173110365,1494477,7.67,51.079817,7.661312,110,32866,download
1406,274.326447868,1406113,17.29,334.519436,17.269755,247,30015,download
1444,221.734074964,1444078,12.53,153.311849,12.518223,216,30015,download
1353,324.094122131,1353577,3.58,18.347561,3.577944,304,30015,download
1340,321.445174174,1340721,3.37,18.057175,3.366767,347,30015,download
1335,354.335998736,1335165,3.36,16.137714,3.354972,326,30015,download
1364,298.392359152,1364334,6.17,69.205024,6.166573,288,30015,download
1353,314.885693546,1353293,3.37,16.818087,3.367506,324,30015,download
1352,318.57652142,1352685,3.38,19.363709,3.3809,307,30015,download
1334,347.263588647,1334881,3.63,22.286967,3.627682,342,30015,download
1496,59.9416382826,1496416,4.72,15.042331,4.71886,7,66501,download
1496,61.9273768216,1496416,2.03,10.085781,2.031966,5,66501,download
1496,59.9416382826,1496416,2.94,10.562565,2.936055,7,66501,download
1497,64.5058136915,1497112,1.04,1.217992,1.041424,20,30046,download
1498,45.5082410119,1498560,7.06,163.914491,7.057065,1,14591,download
1498,45.5082410119,1498560,0.65,0.552034,0.645153,7,14591,download
1498,45.5082410119,1498560,0.84,2.236537,0.837878,8,14591,download
1485,134.309344425,1485844,20.72,408.685682,20.70117,108,34250,download
1482,145.512886027,1482720,15.88,233.181987,15.868866,127,35020,download
1491,107.582526462,1491167,6.6,33.935473,6.594266,126,31082,download
1484,136.32681321,1484491,6.31,32.617606,6.301334,124,31082,download
1409,243.569291989,1409577,11,53.608716,10.993988,191,30241,download
1490,93.2201694914,1490624,7.49,29.573041,7.485322,5,66501,download
1494,83.324666216,1494460,2.15,14.041235,2.148821,20,15614,download
1497,87.8122998218,1497180,6.12,28.284928,6.114954,21,32219,download
1494,84.0595027347,1494755,1.52,7.589286,1.519441,30,20470,download
1487,107.484882658,1487628,7.75,30.0687,7.744,21,65103,download
1497,64.5058136915,1497112,2.36,17.434551,2.360933,10,15614,download
1497,64.5058136915,1497112,1.49,7.023166,1.489847,21,15870,download
1240,431.420908163,1240265,33.45,91.077643,33.421052,428,30155,download
1243,435.022987898,1243185,46.25,286.171425,46.205395,463,30185,download
1270,402.140522703,1270925,25.23,66.857008,25.205373,403,30280,download
1258,413.649610178,1258961,30.79,71.822813,30.754865,421,30340,download
1219,444.599820063,1219541,39.04,85.84582,38.999726,449,30364,download
1227,435.20110294,1227125,43.34,145.655499,43.299839,445,30238,download
1497,64.5058136915,1497112,1.53,6.260817,1.532068,14,16254,download
1275,388.46106626,1275305,29.63,124.881912,29.596964,410,30149,download
1276,387.749919407,1276481,24.12,66.567913,24.094718,411,30007,download
1317,334.732729203,1317895,15.96,71.115951,15.944007,367,30270,download
1225,437.910949852,1225665,41.21,107.562762,41.164166,446,29970,download
1242,427.207209677,1242617,32.25,72.0488,32.215167,430,30616,download
1260,410.524055324,1260705,29.68,74.256089,29.654402,426,30532,download
1235,432.758593213,1235601,32.3,93.070741,32.263887,429,30574,download
1258,407.79161345,1258961,27.24,68.843611,27.215955,436,29919,download
1256,408.582916921,1256325,25.44,64.923661,25.419247,426,30007,download
1303,348.132158813,1303653,15.31,54.60482,15.296668,375,30051,download
1317,335.886885722,1317645,13.99,52.579612,13.972174,376,30095,download
1310,339.576206469,1310345,12.1,40.369156,12.089499,376,30314,download
1497,64.5058136915,1497112,18.4,522.288699,18.376781,6,15550,download
1376,282.895740512,1376918,6.42,34.567938,6.411934,290,30015,download
1352,313.06868256,1352666,5.46,32.318419,5.458666,335,30015,download
1355,290.654433993,1355586,8.83,44.667751,8.817161,328,30015,download
1361,299.360986102,1361142,3.02,13.160687,3.018838,316,30015,download
1365,279.427987145,1365522,3.43,15.266183,3.424326,306,30015,download
1390,254.621287405,1390626,4.03,20.263612,4.025568,260,30015,download
1371,290.394559178,1371078,8.68,183.19181,8.673066,321,30015,download
1368,308.204477579,1368482,3.61,19.650334,3.610635,328,30015,download
1346,313.290599923,1346826,5.99,34.086814,5.980685,335,30015,download
1368,294.56238728,1368442,10.83,58.880043,10.815061,304,30015,download
1355,294.625185617,1355302,9.55,47.496042,9.538086,329,30015,download
1492,100.846417884,1492858,6.72,29.763177,6.71468,128,31294,download
1492,100.846417884,1492858,11.14,47.290346,11.132655,120,30945,download
1503,171.449701079,1503078,7.95,51.942199,7.944366,121,31313,download
1492,100.846417884,1492858,8.78,59.069102,8.776075,104,31592,download
1397,354.235797175,1397114,35.08,922.638969,35.049826,69,64240,download
1471,171.944758571,1471552,7.09,134.282527,7.083542,69,40708,download
1469,157.047763435,1469030,11.39,304.256073,11.375561,72,65352,download
1387,253.576418462,1387441,3.48,16.091747,3.480679,267,30015,download
1365,302.930685141,1365257,3.47,16.31072,3.468434,344,30015,download
1379,253.531063186,1379857,4.34,30.591109,4.339608,282,30015,download
1394,233.89955109,1394381,4.82,36.755485,4.817061,291,29936,download
1429,216.47632665,1429705,8.3,46.695646,8.291302,191,30015,download
1449,163.153302142,1449981,7.66,43.718377,7.654799,154,30159,download
1493,95.6765383989,1493051,1.27,5.608993,1.264897,65,33149,download
1493,94.1381962861,1493465,2.5,42.388235,2.497865,31,32811,download
1493,94.1381962861,1493465,2.55,47.041877,2.551207,26,32274,download
1491,106.131993291,1491591,1.47,9.16176,1.468478,47,32295,download
1491,106.131993291,1491591,1.24,4.228249,1.242677,65,32872,download
1490,113.758516165,1490131,6.33,27.997491,6.327568,270,33122,download
1493,94.1381962861,1493465,1.09,1.858695,1.087619,31,32989,download
1493,94.1381962861,1493465,1.13,2.476977,1.129309,29,32542,download
1493,94.1381962861,1493465,1.13,2.426022,1.124311,29,32628,download
1478,158.347718645,1478865,1.54,7.888264,1.542636,30,32432,download
1487,123.052834181,1487625,1.45,2.009913,1.444097,28,32811,download
1494,104.938076979,1494925,2.62,43.254379,2.614185,29,32015,download
1494,82.1462111117,1494925,1.04,1.192654,1.043079,30,32906,download
1493,94.1381962861,1493465,1.11,2.094416,1.103926,29,33129,download
1494,82.1462111117,1494925,1.06,1.510592,1.057499,29,32345,download
1493,94.1381962861,1493465,1.13,2.702187,1.12809,25,31737,download
1494,82.1462111117,1494925,1.03,1.096119,1.030437,29,31308,download
1494,82.1462111117,1494925,1.06,1.569319,1.059378,32,32628,download
1494,82.1462111117,1494925,1.05,1.237533,1.048033,29,32628,download
1494,82.1462111117,1494925,1.04,1.176038,1.040726,31,31793,download
1494,82.1462111117,1494925,1.07,1.635688,1.067277,31,32628,download
1492,102.688850417,1492005,1.32,7.772959,1.319786,28,31308,download
1494,82.1462111117,1494925,1.04,1.463955,1.038178,33,32349,download
1491,106.131993291,1491591,2.68,36.005407,2.679541,62,32594,download
1479,148.835479641,1479911,6.69,31.381093,6.687349,275,33122,download
1493,94.1381962861,1493465,2.29,37.993387,2.285769,29,32711,download
1492,101.975487251,1492218,2.76,53.088214,2.754708,28,32934,download
1492,102.688850417,1492005,1.11,2.139815,1.109848,27,31964,download
1478,160.433786965,1478451,6.8,34.771483,6.789516,271,32027,download
1490,109.859000542,1490685,2.29,30.578043,2.287092,71,32804,download
1487,116.828934772,1487694,4.58,72.865457,4.577261,44,32542,download
1493,94.2708862799,1493300,7.56,205.217344,7.552699,27,32649,download
1491,106.131993291,1491591,2.29,33.034379,2.292182,54,32340,download
1493,94.1381962861,1493465,2.39,41.879571,2.384607,24,32628,download
1492,102.688850417,1492005,2.86,51.760892,2.855866,33,32962,download
1493,94.1381962861,1493465,1.08,1.746066,1.076941,29,32542,download
1493,94.1381962861,1493465,1.08,1.738683,1.08178,27,32015,download
1491,106.131993291,1491591,2.61,39.943757,2.605132,74,31602,download
1491,106.442472726,1491324,2.56,34.480821,2.561623,73,32260,download
1493,94.1381962861,1493465,1.14,2.643324,1.14342,25,31695,download
1493,94.1381962861,1493465,1.1,1.958521,1.096509,26,32274,download
1493,94.1381962861,1493465,1.07,1.643684,1.064366,27,32488,download
1493,94.1381962861,1493465,1.09,1.902546,1.0906,30,32516,download
1494,82.1462111117,1494925,1.06,1.604736,1.054815,33,32572,download
1493,94.6784030284,1493139,2.53,46.43732,2.531649,23,32542,download
1493,94.1381962861,1493465,2.31,38.996246,2.307715,24,31459,download
1493,94.1381962861,1493465,1.07,1.729928,1.073342,29,32005,download
1493,94.1381962861,1493465,1.13,2.405453,1.127494,31,32015,download
1494,82.1462111117,1494925,1.03,1.127384,1.032542,24,32143,download
1494,82.9879509327,1494599,1.04,1.412834,1.035321,13,32107,download
1493,94.6889645101,1493151,2.13,32.410407,2.128081,13,32361,download
1494,82.9879509327,1494599,1.07,2.117649,1.067001,12,32234,download
1494,82.9879509327,1494599,1.03,1.294592,1.02585,16,32488,download
1494,82.9879509327,1494599,2.53,15.582145,2.528132,12,32361,download
1494,82.9879509327,1494599,2.47,15.406475,2.468976,12,32488,download
1494,82.9879509327,1494599,2.46,15.211052,2.459156,11,32488,download
1489,117.749734607,1489294,2.48,44.456443,2.479821,12,32488,download
1493,94.6889645101,1493151,4.07,93.902124,4.066539,13,32488,download
1494,82.9879509327,1494599,1.06,1.917338,1.056998,14,32361,download
1494,82.9879509327,1494599,1.08,2.239855,1.076038,13,32234,download
1496,131.848397791,1496047,1.11,2.359666,1.10936,11,32107,download
1494,82.9879509327,1494599,1.03,1.555012,1.033198,13,32361,download
1494,82.9879509327,1494599,1.07,1.984666,1.071095,16,32361,download
1494,82.9879509327,1494599,1.05,1.358848,1.050384,15,32488,download
1493,94.6889645101,1493151,2.6,32.476099,2.593668,15,32361,download
1494,82.9879509327,1494599,1.08,2.114386,1.075734,12,32488,download
1494,82.9879509327,1494599,1.04,0.807713,1.040095,13,32361,download
1494,82.9879509327,1494599,1.03,0.714549,1.027412,11,32234,download
1494,82.9879509327,1494599,1.07,1.960866,1.068482,15,32361,download
1493,94.1381962861,1493465,1.09,1.962322,1.085386,25,31737,download
1493,94.1381962861,1493465,1.1,2.297179,1.099173,28,31755,download
1493,94.1381962861,1493465,1.11,2.063588,1.108228,26,31725,download
1492,103.778610513,1492055,1.06,1.679203,1.062876,49,32597,download
1492,100.632996577,1492715,1.03,1.079559,1.027214,49,32570,download
1492,101.024749443,1492550,1.24,6.527712,1.240418,67,32955,download
1452,191.261600955,1452872,13.1,59.911152,13.08506,149,32117,download
1457,189.98420987,1457835,4.46,21.176604,4.45663,158,31392,download
1454,183.893991201,1454940,10.06,44.913916,10.052061,142,32117,download
1452,184.488482025,1452710,10.07,47.367086,10.060319,180,31831,download
1482,123.58802531,1482653,14.97,68.498764,14.950398,157,31576,download
1468,152.636823866,1468335,9.33,41.263348,9.319966,160,31140,download
1465,171.71779174,1465413,7.38,34.3519,7.371903,169,31208,download
1474,155.122532212,1474009,5.29,27.582522,5.28931,157,31208,download
1475,144.858551698,1475633,23.97,98.655042,23.94342,147,31392,download
1460,187.624625249,1460992,18.19,71.32733,18.16926,174,32117,download
1492,102.601169584,1492220,1.07,2.286963,1.071954,49,32540,download
1492,100.508706091,1492880,1.03,0.490297,1.024497,39,32972,download
1492,100.508706091,1492880,1.03,0.587631,1.028375,37,32941,download
1487,132.623527325,1487001,1.07,1.697751,1.069537,42,32495,download
1489,118.004237212,1489965,1.03,0.5956,1.02945,39,32425,download
1492,100.508706091,1492880,1.36,7.023717,1.360546,80,32941,download
1491,105.806427026,1491395,1.06,1.626176,1.061835,48,34022,download
1491,106.315568004,1491395,1.06,1.610872,1.056009,51,32941,download
1439,214.758003343,1439693,7.75,46.717745,7.741227,231,30015,download
1439,207.282416041,1439977,7.93,42.286674,7.922184,165,30015,download
1351,313.99681527,1351201,6.64,36.444602,6.630371,390,30015,download
1323,361.09555522,1323177,7.81,74.939808,7.800651,377,30015,download
1386,248.901586978,1386513,3.38,16.858744,3.378879,282,30658,download
1498,45.5082410119,1498560,1.05,1.687868,1.044356,6,14591,download
1498,45.5082410119,1498560,1.05,1.666458,1.052415,7,14591,download
1498,45.5082410119,1498560,1.05,1.583136,1.051055,7,14591,download
1498,45.5082410119,1498560,1.02,1.140703,1.015094,7,14591,download
1498,45.5082410119,1498560,1.04,1.451395,1.039655,6,14591,download
1498,45.5082410119,1498560,1.06,1.643857,1.056432,6,14591,download
1498,45.5082410119,1498560,1.02,0.968121,1.0143,6,14591,download
1498,45.5082410119,1498560,1.42,1.954884,1.421362,0,14591,download
1498,45.5082410119,1498560,1.04,1.557181,1.043233,6,14591,download
1498,45.5082410119,1498560,1.1,2.559783,1.095765,6,14591,download
1498,45.5082410119,1498560,1.07,1.891264,1.068642,7,14591,download
1498,45.5082410119,1498560,1.03,1.148869,1.025506,8,14591,download
1498,45.5082410119,1498560,1.25,3.479148,1.253654,9,14591,download
1498,45.5082410119,1498560,1.15,4.760765,1.152475,7,14591,download
1498,45.5082410119,1498560,1.03,1.099324,1.029717,6,14591,download
1498,45.5082410119,1498560,1.09,1.374182,1.09037,13,14591,download
1498,45.5082410119,1498560,1.92,28.053481,1.919954,0,14591,download
1483,112.414411887,1483067,1.7,16.411095,1.700286,70,65352,download
1419,229.253135202,1419229,9.68,47.483396,9.671814,183,30015,download
1420,234.316025914,1420973,9.4,47.616605,9.395337,177,30015,download
1491,105.688220725,1491560,1.03,1.207177,1.030707,51,33596,download
1362,270.545744746,1362945,3.62,18.013051,3.61556,315,30532,download
1432,233.893137993,1432961,8.54,89.477567,8.530965,179,30015,download
1405,212.708721025,1405245,4.14,22.417059,4.140598,255,30015,download
1377,278.713114151,1377505,4.08,32.122923,4.075862,317,30015,download
1380,259.91921822,1380425,3.63,22.396551,3.6312,283,29970,download
1381,324.365534544,1381866,5.75,29.673321,5.743234,532,30015,download
1492,82.7647267862,1492777,1.13,3.153927,1.125994,258,1013,multimedia
1497,43.4165866922,1497422,1.2,2.355144,1.197123,263,1443,multimedia
1499,3.6055512755,1499887,1.16,1.806755,1.162264,343,1713,multimedia
